Time,Flight,Destination,Airline,Aircraft2,Cpassengers,Cweight,Cvolume
12:30,LH963,Frankfurt (FRA),Lufthansa,A319,150,2550,17.4
12:50,BA2217,London (LCY),British Airways,E190,100,1700,11.6
12:55,BA1437,London (LHR),British Airways,A321,180,3060,20.9
12:55,U25548,Berlin (TXL),easyJet,A320,150,2550,17.4
13:00,EI3805,Cork (ORK),Aer Lingus,AT7,78,1326,9
13:00,U26921,Amsterdam (AMS),easyJet,A320,150,2550,17.4
13:10,U26949,Tenerife (TFS),easyJet,A320,150,2550,17.4
13:10,FR1054,Prague (PRG),Ryanair,737,162,2754,18.8
13:15,FR7352,Brussels (CRL),Ryanair,737,162,2754,18.8
13:20,U26955,Paris (CDG),easyJet,A320,150,2550,17.4
13:25,FR1051,Nantes (NTE),Ryanair,737,162,2754,18.8
13:55,U2236,London (STN),easyJet,A319,150,2550,17.4
13:55,BE1337,London (LCY),Flybe,DH4,70,1190,8.1
14:00,BA1449,London (LHR),British Airways,A319,150,2550,17.4
14:05,FR6624,Krakow (KRK),Ryanair,737,162,2754,18.8
14:10,U23386,Venice (VCE),easyJet,A320,150,2550,17.4
14:15,LM397,Kirkwall (KOI),Loganair,SF3,30,510,3.5
14:30,BE769,Southampton (SOU),Flybe,DH4,70,1190,8.1
14:30,LM347,Stornoway (SYY),Loganair,SF3,30,510,3.5
14:35,U26917,Basel (BSL),easyJet,A320,150,2550,17.4
14:35,BE4505,Cardiff (CWL),Flybe,DH4,70,1190,8.1
14:35,FR1809,Eindhoven (EIN),Ryanair,737,162,2754,18.8
14:55,U2808,London (LGW),easyJet,A320,150,2550,17.4
15:05,BE294,Manchester (MAN),Flybe,DH4,70,1190,8.1
15:05,FR6339,Tallinn (TLL),Ryanair,737,162,2754,18.8
15:10,U214,London (LTN),easyJet,A319,150,2550,17.4
15:10,BE849,Birmingham (BHX),Flybe,DH4,70,1190,8.1
15:25,BE685,Belfast (BHD),Flybe,DH4,70,1190,8.1
15:25,LM365,East Midlands (EMA),Loganair,ER4,44,748,5.1
15:25,FR815,Dublin (DUB),Ryanair,737,162,2754,18.8
15:30,BE1339,London (LCY),Flybe,E90,95,1615,11
15:50,BE2107,London (LHR),Flybe,DH4,70,1190,8.1
16:00,U2426,Bristol (BRS),easyJet,A320,150,2550,17.4
16:00,U26995,Madrid (MAD),easyJet,A320,150,2550,17.4
16:10,EI3257,Dublin (DUB),Aer Lingus,AT7,78,1326,9
16:15,U2234,London (STN),easyJet,A319,150,2550,17.4
16:30,U2488,Belfast (BFS),easyJet,A320,150,2550,17.4
16:50,BA1455,London (LHR),British Airways,A319,150,2550,17.4
16:50,U2810,London (LGW),easyJet,A319,150,2550,17.4
16:55,BA8707,London (LCY),British Airways,E90,95,1615,11
17:00,BE1343,London (LCY),Flybe,DH4,70,1190,8.1
17:00,KL1286,Amsterdam (AMS),KLM,B738,162,2754,18.8
17:05,FR5834,Milan (BGY),Ryanair,737,162,2754,18.8
17:10,SN2064,Brussels (BRU),Brussels Airlines,A319,150,2550,17.4
17:20,W61408,Warsaw (WAW),Wizz Air,A321,180,3060,20.9
17:25,U2428,Bristol (BRS),easyJet,A320,150,2550,17.4
17:25,BE851,Birmingham (BHX),Flybe,DH4,70,1190,8.1
17:30,BA8709,London (LCY),British Airways,E170,72,1224,8.4
17:30,FR7892,Gothenburg (GOT),Ryanair,737,162,2754,18.8
17:35,FR1017,Budapest (BUD),Ryanair,737,162,2754,18.8
17:45,U26907,Geneva (GVA),easyJet,A319,150,2550,17.4
17:45,FR2453,Bologna (BLQ),Ryanair,737,162,2754,18.8
17:50,LM357,Sumburgh (LSI),Loganair,SF3,30,510,3.5
17:55,BA1447,London (LHR),British Airways,A321,180,3060,20.9
17:55,U2238,London (STN),easyJet,A319,150,2550,17.4
17:55,LM399,Kirkwall (KOI),Loganair,SF3,30,510,3.5
17:55,FR1068,Treviso (TSF),Ryanair,737,162,2754,18.8
18:00,U26963,Jersey (JER),easyJet,A320,150,2550,17.4
18:00,LM313,Isle of Man (IOM),Loganair,SF3,30,510,3.5
18:00,LH965,Frankfurt (FRA),Lufthansa,A320,150,2550,17.4
18:05,U2486,Belfast (BFS),easyJet,A320,150,2550,17.4
18:15,U216,London (LTN),easyJet,A320,150,2550,17.4
18:15,BE2109,London (LHR),Flybe,DH4,70,1190,8.1
18:40,BE773,Southampton (SOU),Flybe,DH4,70,1190,8.1
18:40,BE4507,Cardiff (CWL),Flybe,DH4,70,1190,8.1
18:40,LM308,Norwich (NWI),Loganair,ER3,44,748,5.1
18:40,FR511,Dublin (DUB),Ryanair,737,162,2754,18.8
18:45,U26923,Amsterdam (AMS),easyJet,A319,150,2550,17.4
18:45,BE296,Manchester (MAN),Flybe,DH4,70,1190,8.1
18:50,LM367,East Midlands (EMA),Loganair,ER4,44,748,5.1
18:55,U2812,London (LGW),easyJet,A320,150,2550,17.4
18:55,BE853,Birmingham (BHX),Flybe,DH4,70,1190,8.1
19:00,BA8717,London (LCY),British Airways,E190,100,1700,11.6
19:00,FR2791,Bucharest (OTP),Ryanair,737,162,2754,18.8
19:05,EK24,Dubai (DXB),Emirates,777,451,7667,52.3
19:10,U2432,Bristol (BRS),easyJet,A320,150,2550,17.4
19:25,BA1459,London (LHR),British Airways,A319,150,2550,17.4
19:25,FR4512,Warsaw (WMI),Ryanair,737,162,2754,18.8
19:30,FR6461,Lisbon (LIS),Ryanair,737,162,2754,18.8
19:35,U22686,Milan (MXP),easyJet,A319,150,2550,17.4
19:35,U2240,London (STN),easyJet,A319,150,2550,17.4
19:40,EI3259,Dublin (DUB),Aer Lingus,AT7,78,1326,9
19:40,U218,London (LTN),easyJet,A319,150,2550,17.4
19:50,BA2505,London (LGW),British Airways,A320,150,2550,17.4
19:50,BE687,Belfast (BHD),Flybe,DH4,70,1190,8.1
20:00,BA8719,London (LCY),British Airways,E190,100,1700,11.6
20:05,BA1463,London (LHR),British Airways,A319,150,2550,17.4
20:15,BE2111,London (LHR),Flybe,DH4,70,1190,8.1
20:30,BA1465,London (LHR),British Airways,A321,180,3060,20.9
20:45,3V826,Paris (CDG),ASL Airlines Belgium,777,451,7667,52.3
20:50,U2814,London (LGW),easyJet,A319,150,2550,17.4
21:05,U2490,Belfast (BFS),easyJet,A320,150,2550,17.4
21:05,BE855,Birmingham (BHX),Flybe,E75,100,1700,11.6
21:15,EI3807,Cork (ORK),Aer Lingus,AT7,78,1326,9
